SAP Substation Name,LCR Area,City served,Division,Owner
SOLANO SUB,Greater Bay Area,Albany,EAST BAY,PGE
SONOMA A SUB,North Coast/North Bay,Temelec,NORTH COAST,PGE
SONOMA A SUB,North Coast/North Bay,Sonoma,NORTH COAST,PGE
SONOMA A SUB,North Coast/North Bay,Fetters Hot Springs-Agua Caliente,NORTH COAST,PGE
SONOMA A SUB,North Coast/North Bay,El Verano,NORTH COAST,PGE
SONOMA A SUB,North Coast/North Bay,Boyes Hot Springs,NORTH COAST,PGE
SOTO SUB,Greater Bay Area,Hayward,MISSION,PGE
SOTO SUB,Greater Bay Area,Cherryland,MISSION,PGE
SOUTH KERN SOLAR SUB,Kern,Maricopa,KERN,nonPGE
SPAULDING PH #1 SUB,Sierra,Truckee,SIERRA,PGE
SPRING GAP PH SUB,Stockton,Tuolumne County,YOSEMITE,PGE
SPRUCE SUB,Greater Bay Area,Kensington,EAST BAY,PGE
SPRUCE SUB,Greater Bay Area,Berkeley,EAST BAY,PGE
SRI SUB,Greater Bay Area,Menlo Park,PENINSULA,PGE
STAFFORD SUB,North Coast/North Bay,Novato,NORTH BAY,PGE
STAGG SUB,Stockton,Stockton,STOCKTON,PGE
STAGG SUB,Stockton,Lincoln Village,STOCKTON,PGE
STAGG SUB,Stockton,Country Club,STOCKTON,PGE
STANISLAUS CO. RESOURCE RECOVERY,Stockton,Stanislaus County,YOSEMITE,nonPGE
STANISLAUS PH SUB,Stockton,Arnold,STOCKTON,PGE
STANISLAUS PH SUB,Stockton,Murphys,STOCKTON,PGE
STANISLAUS PH SUB,Stockton,Forest Meadows,STOCKTON,PGE
STANISLAUS PH SUB,Stockton,Avery,STOCKTON,PGE
STANISLAUS PH SUB,Stockton,Arnold,STOCKTON,PGE
STARWOOD POWER MIDWAY LLC SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
STATION MA SUB,Greater Bay Area,Millbrae,PENINSULA,nonPGE
STAUFFER SUB,Greater Bay Area,Martinez,DIABLO,PGE
STELLING SUB,Greater Bay Area,Sunnyvale,DE ANZA,PGE
STELLING SUB,Greater Bay Area,San Jose,DE ANZA,PGE
STELLING SUB,Greater Bay Area,Mountain View,DE ANZA,PGE
STELLING SUB,Greater Bay Area,Loyola,DE ANZA,PGE
STELLING SUB,Greater Bay Area,Los Altos,DE ANZA,PGE
STELLING SUB,Greater Bay Area,Cupertino,DE ANZA,PGE
STOCKDALE SUB,Kern,Bakersfield,KERN,PGE
STOCKTON A SUB,Stockton,Taft Mosswood,STOCKTON,PGE
STOCKTON A SUB,Stockton,Stockton,STOCKTON,PGE
STOCKTON A SUB,Stockton,August,STOCKTON,PGE
STOCKTON ACRES SUB,Stockton,Stockton,STOCKTON,PGE
STOCKTON ACRES SUB,Stockton,Country Club,STOCKTON,PGE
STOCKTON WASTEWATER SUB,Stockton,Stockton,STOCKTON,nonPGE
STONE CORRAL SUB,Greater Fresno,Squaw Valley,FRESNO,PGE
STONE SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
STONY POINT SUB,North Coast/North Bay,Roseland,NORTH COAST,nonPGE
STOREY SUB,Greater Fresno,Parksdale,YOSEMITE,PGE
STOREY SUB,Greater Fresno,Madera Acres,YOSEMITE,PGE
STOREY SUB,Greater Fresno,Madera,YOSEMITE,PGE
STOREY SUB,Greater Fresno,Bonadelle Ranchos-Madera Ranchos,YOSEMITE,PGE
STROUD SUB,Greater Fresno,Helm,FRESNO,PGE
STUART SUB,Greater Bay Area,Oakland,EAST BAY,PGE
STUART SUB,Greater Bay Area,Berkeley,EAST BAY,PGE
SULLIVAN SUB,Greater Bay Area,Daly City,PENINSULA,PGE
SULLIVAN SUB,Greater Bay Area,Broadmoor,PENINSULA,PGE
SUMIDEN WIRE SUB,Stockton,August,STOCKTON,nonPGE
SUN CITY PV SOLAR SUB,Greater Fresno,Avenal,FRESNO,nonPGE
SUN MAID SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
SUNOL SUB,Greater Bay Area,Sunol,MISSION,PGE
SUNOL SUB,Greater Bay Area,Pleasanton,MISSION,PGE
SUNOL SUB,Greater Bay Area,Fremont,MISSION,PGE
SWIFT SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
SYCAMORE SUB,Kern,Kern County,KERN,nonPGE
TAR FLAT SUB,Stockton,Sonora,YOSEMITE,PGE
TARAVAL SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
TASSAJARA SUB,Greater Bay Area,Walnut Creek,DIABLO,PGE
TASSAJARA SUB,Greater Bay Area,San Ramon,DIABLO,PGE
TASSAJARA SUB,Greater Bay Area,Diablo,DIABLO,PGE
TASSAJARA SUB,Greater Bay Area,Danville,DIABLO,PGE
TASSAJARA SUB,Greater Bay Area,Blackhawk-Camino Tassajara,DIABLO,PGE
TASSAJARA SUB,Greater Bay Area,Alamo,DIABLO,PGE
TAYLOR RD STATION,Sierra,Rocklin,SIERRA,nonPGE
TEICHERT SUB,Stockton,Tracy,STOCKTON,nonPGE
TEVIS SUB,Kern,Bakersfield,KERN,PGE
TEVIS SUB,Kern,Rosedale,KERN,PGE
THERMAL SUB,Greater Bay Area,Oakland,EAST BAY,PGE
TIDEWATER SUB,Greater Bay Area,Vine Hill,DIABLO,PGE
TIDEWATER SUB,Greater Bay Area,Pleasant Hill,DIABLO,PGE
TIDEWATER SUB,Greater Bay Area,Pacheco,DIABLO,PGE
TIDEWATER SUB,Greater Bay Area,Martinez,DIABLO,PGE
TIDEWATER SUB,Greater Bay Area,Concord,DIABLO,PGE
TIDEWATER SUB,Greater Bay Area,Clyde,DIABLO,PGE
TIDEWATER SUB,Greater Bay Area,Clayton,DIABLO,PGE
TIDEWATER SUB,Greater Bay Area,Bay Point,DIABLO,PGE
TIVY VALLEY SUB,Greater Fresno,Squaw Valley,FRESNO,PGE
TOCALOMA SUB,North Coast/North Bay,Tocaloma,NORTH BAY,PGE
TOMA-TEK SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
TORNADO (TEXACO TRADING AND TRANSPORTATION C,Greater Fresno,Fresno County,FRESNO,nonPGE
TRACY DEFENSE DEPOT SUB,Stockton,Tracy,STOCKTON,nonPGE
TRACY SUB,Stockton,Tracy,STOCKTON,PGE
TRACY SUB,Stockton,Lathrop,STOCKTON,PGE
TRANQUILITY #1,Greater Fresno,,,
TRANQUILITY #2,Greater Fresno,,,
TRIGO JCT SUB,Greater Fresno,Madera County,FRESNO,PGE
TRIMBLE SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
TRINIDAD SUB,Humboldt,Westhaven-Moonstone,HUMBOLDT,PGE
TRINIDAD SUB,Humboldt,Trinidad,HUMBOLDT,PGE
TRINIDAD SUB,Humboldt,McKinleyville,HUMBOLDT,PGE
TUDOR SUB,Sierra,Tudor,SIERRA,PGE
TULARE LAKE SUB,Greater Fresno,Kettleman City,FRESNO,PGE
TULUCAY SUB,North Coast/North Bay,Napa,NORTH BAY,PGE
TULUCAY SUB,North Coast/North Bay,American Canyon,NORTH BAY,PGE
TWENTY-FIRST AVENUE SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
UC DAVIS,Sierra,Davis,SACRAMENTO,nonPGE
UKIAH SUB,North Coast/North Bay,Ukiah,NORTH COAST,PGE
UKIAH SUB,North Coast/North Bay,Talmage,NORTH COAST,PGE
ULTRA POWER (BLUE LAKE),Humboldt,Blue Lake,HUMBOLDT,nonPGE
ULTRA POWER (OGLE) SUB,Kern,Kern County,KERN,nonPGE
UPPER LAKE SUB,North Coast/North Bay,Upper Lake,HUMBOLDT,PGE
URICH SUB,Greater Bay Area,Martinez,DIABLO,PGE
US POST OFFICE SUB,Sierra,West Sacramento,SACRAMENTO,nonPGE
VALLECITOS SUB,Greater Bay Area,Sunol,MISSION,PGE
VALLEJO B SUB,North Coast/North Bay,Vallejo,NORTH BAY,PGE
VALLEJO C SUB,North Coast/North Bay,Vallejo,NORTH BAY,PGE
VALLEY CHILDREN'S HOSPITAL SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
VALLEY HOME SUB,Stockton,Valley Home,YOSEMITE,PGE
VALLEY VIEW SUB,Greater Bay Area,San Pablo,EAST BAY,PGE
VALLEY VIEW SUB,Greater Bay Area,Richmond,EAST BAY,PGE
VALLEY VIEW SUB,Greater Bay Area,Pinole,EAST BAY,PGE
VALLEY VIEW SUB,Greater Bay Area,El Sobrante,EAST BAY,PGE
VASCO SUB,Greater Bay Area,Livermore,MISSION,PGE
VASONA SUB,Greater Bay Area,San Jose,DE ANZA,PGE
VASONA SUB,Greater Bay Area,Monte Sereno,DE ANZA,PGE
VASONA SUB,Greater Bay Area,Los Gatos,DE ANZA,PGE
VASONA SUB,Greater Bay Area,Campbell,DE ANZA,PGE
VASONA SUB,Greater Bay Area,Cambrian Park,DE ANZA,PGE
VEDDER SUB,Kern,Kern County,KERN,nonPGE
VICTOR SUB,Stockton,Lockeford,STOCKTON,PGE
VIERRA SUB,Stockton,Manteca,STOCKTON,PGE
VIERRA SUB,Stockton,Lathrop,STOCKTON,PGE
VINEYARD SUB,Greater Bay Area,Sunol,MISSION,PGE
VINEYARD SUB,Greater Bay Area,Pleasanton,MISSION,PGE
VINEYARD SUB,Greater Bay Area,Livermore,MISSION,PGE
VINEYARD SUB,Greater Bay Area,Hayward,MISSION,PGE
VINEYARD SUB,Greater Bay Area,Dublin,MISSION,PGE
VIRGINIA SUB,Greater Bay Area,Richmond,EAST BAY,PGE
WAHTOKE SUB,Greater Fresno,Reedley,FRESNO,PGE
WAHTOKE SUB,Greater Fresno,Parlier,FRESNO,PGE
WALDO SUB,Greater Bay Area,Richmond,EAST BAY,PGE
WALDO SUB,Greater Bay Area,Kensington,EAST BAY,PGE
WALDO SUB,Greater Bay Area,El Cerrito,EAST BAY,PGE
WALL SUB,Greater Bay Area,Richmond,EAST BAY,PGE
WALL SUB,Greater Bay Area,El Cerrito,EAST BAY,PGE
WALNUT CREEK SUB,Greater Bay Area,Walnut Creek,DIABLO,PGE
WARD SUB,Greater Bay Area,San Leandro,MISSION,PGE
WASCO SUB,Kern,Kern County,KERN,PGE
WATERLOO SUB,Stockton,Morada,STOCKTON,PGE
WATERSHED SUB,Greater Bay Area,Redwood City,PENINSULA,PGE
WAYNE SUB,Greater Bay Area,Alamo,DIABLO,PGE
WEBER SUB,Stockton,Taft Mosswood,STOCKTON,PGE
WEBER SUB,Stockton,Stockton,STOCKTON,PGE
WEBER SUB,Stockton,Kennedy,STOCKTON,PGE
WEBER SUB,Stockton,Garden Acres,STOCKTON,PGE
WEBER SUB,Stockton,French Camp,STOCKTON,PGE
WEBER SUB,Stockton,Kennedy,STOCKTON,PGE
WEEDPATCH SUB,Kern,Kern County,KERN,PGE
WEIMAR SUB,Sierra,Meadow Vista,SIERRA,PGE
WEIMAR SUB,Sierra,Colfax,SIERRA,PGE
WELLFIELD SUB,Kern,Arvin,KERN,PGE
WESIX (WAPA) SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
WEST FRESNO SUB,Greater Fresno,Fresno,FRESNO,PGE
WEST FRESNO SUB,Greater Fresno,Easton,FRESNO,PGE
WEST LANE SUB,Stockton,Stockton,STOCKTON,PGE
WEST LANE SUB,Stockton,August,STOCKTON,PGE
WEST SACRAMENTO SUB,Sierra,W. Sacramento,SACRAMENTO,PGE
WEST SACRAMENTO SUB,Sierra,West Sacramento,SACRAMENTO,PGE
WESTLAKE SUB,Greater Bay Area,San Francisco,PENINSULA,PGE
WESTLAKE SUB,Greater Bay Area,Daly City,PENINSULA,PGE
WESTLANDS #1 RA PP SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
WESTLANDS 16RA SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
WESTLANDS 18RA SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
WESTLANDS SUB,Greater Fresno,San Joaquin,YOSEMITE,PGE
WESTLEY SUB,Stockton,Westley,YOSEMITE,PGE
WESTLEY SUB,Stockton,Grayson,YOSEMITE,PGE
WESTPARK SUB,Kern,Bakersfield,KERN,PGE
WESTPARK SUB,Kern,Oildale,KERN,PGE
WHEATLAND SUB,Sierra,Wheatland,SIERRA,PGE
WHEATLAND SUB,Sierra,Beale AFB,SIERRA,PGE
WHISMAN SUB,Greater Bay Area,Sunnyvale,DE ANZA,PGE
WHISMAN SUB,Greater Bay Area,Palo Alto,DE ANZA,PGE
WHISMAN SUB,Greater Bay Area,Mountain View,DE ANZA,PGE
WHITNEY SUB,Greater Bay Area,Pittsburg,DIABLO,PGE
WILLITS A SUB,North Coast/North Bay,Willits,NORTH COAST,PGE
WILLOW CREEK SUB,Humboldt,Willow Creek,HUMBOLDT,PGE
WILLOW PASS SUB,Greater Bay Area,Pittsburg,DIABLO,PGE
WILLOW PASS SUB,Greater Bay Area,Concord,DIABLO,PGE
WILLOW PASS SUB,Greater Bay Area,Bay Point,DIABLO,PGE
WILSON SUB,Greater Fresno,Planada,YOSEMITE,PGE
WILSON SUB,Greater Fresno,Merced,YOSEMITE,PGE
WISE PH SUB,Sierra,Auburn,SIERRA,PGE
WISHON SUB,Greater Fresno,Auberry,YOSEMITE,PGE
WITCO (OILDALE CO-GEN) SUB,Kern,Kern County,KERN,nonPGE
WITCO REFINERY SUB,Kern,Kern County,KERN,nonPGE
WOHLER SUB,North Coast/North Bay,Healdsburg,NORTH COAST,PGE
WOLFE SUB,Greater Bay Area,Sunnyvale,DE ANZA,PGE
WOLFE SUB,Greater Bay Area,Santa Clara,DE ANZA,PGE
WOLFE SUB,Greater Bay Area,San Jose,DE ANZA,PGE
WOLFE SUB,Greater Bay Area,Cupertino,DE ANZA,PGE
WOOD SUB,Greater Bay Area,Piedmont,EAST BAY,PGE
WOOD SUB,Greater Bay Area,Oakland,EAST BAY,PGE
WOODACRE SUB,North Coast/North Bay,Woodacre,NORTH BAY,PGE
WOODACRE SUB,North Coast/North Bay,San Geronimo,NORTH BAY,PGE
WOODACRE SUB,North Coast/North Bay,Lagunitas-Forest Knolls,NORTH BAY,PGE
WOODACRE SUB,North Coast/North Bay,Fairfax,NORTH BAY,PGE
WOODBRIDGE WINERY SUB,Stockton,Lodi,STOCKTON,nonPGE
WOODCHUCK SUB,Greater Fresno,Wilson Village,FRESNO,PGE
WOODLAND BIOMASS,Sierra,Woodland,SACRAMENTO,PGE
WOODLAND SUB,Sierra,Woodland,SACRAMENTO,PGE
WOODLAND SUB,Sierra,Woodland,SACRAMENTO,PGE
WOODSIDE SUB,Greater Bay Area,Woodside,PENINSULA,PGE
WOODSIDE SUB,Greater Bay Area,Redwood City,PENINSULA,PGE
WOODSIDE SUB,Greater Bay Area,Portola Valley,PENINSULA,PGE
WOODSIDE SUB,Greater Bay Area,Menlo Park,PENINSULA,PGE
WOODSIDE SUB,Greater Bay Area,Emerald Lake Hills,PENINSULA,PGE
WOODSIDE SUB,Greater Bay Area,Atherton,PENINSULA,PGE
WOODWARD SUB,Greater Fresno,Fresno County,FRESNO,PGE
WOODWARD SUB,Greater Fresno,Friant,FRESNO,PGE
WOODWARD SUB,Greater Fresno,Fresno,FRESNO,PGE
WOODWARD SUB,Greater Fresno,Clovis,FRESNO,PGE
WRIGHT SUB,Greater Fresno,Los Banos,YOSEMITE,PGE
WYANDOTTE SUB,Sierra,South Oroville,NORTH VALLEY,PGE
WYANDOTTE SUB,Sierra,Palermo,NORTH VALLEY,PGE
WYANDOTTE SUB,Sierra,Oroville East,NORTH VALLEY,PGE
WYANDOTTE SUB,Sierra,Oroville,NORTH VALLEY,PGE
WYANDOTTE SUB,Sierra,Concow,NORTH VALLEY,PGE
YANCY SUB,Greater Fresno,Fresno County,FRESNO,PGE
YOSEMITE SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
YUBA GOLDFIELDS,Sierra,Marysville,SIERRA,PGE
ZAMORA SUB,Sierra,Zamora,SACRAMENTO,PGE
